bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,yearbuilt,fips,lotsizesquarefeet
3.0,2.0,1248.0,457701.0,1922.0,6037.0,5599.0
5.0,4.5,4331.0,833555.0,2002.0,6059.0,6439.0
4.0,3.0,1978.0,539007.0,2006.0,6111.0,6000.0
3.0,2.0,1252.0,431481.0,1957.0,6059.0,7140.0
3.0,2.0,1440.0,47377.0,1961.0,6037.0,5689.0
3.0,1.0,955.0,386728.0,1953.0,6037.0,6496.0
3.0,3.0,3080.0,1065000.0,1989.0,6111.0,45738.0
1.0,3.0,1619.0,1664376.0,1949.0,6037.0,85354.0
4.0,2.0,1859.0,353811.0,1979.0,6111.0,9167.0
3.0,2.0,1215.0,65276.0,1963.0,6037.0,7498.0
3.0,2.0,1930.0,758649.0,1927.0,6037.0,8529.0
3.0,2.0,1956.0,2715793.0,1927.0,6037.0,8008.0
3.0,2.0,1372.0,208369.0,1967.0,6111.0,44001.0
2.0,1.0,1348.0,380605.0,1951.0,6037.0,8994.0
4.0,3.0,1555.0,253993.0,1972.0,6037.0,4036.0
2.0,2.0,1687.0,754468.0,1920.0,6037.0,6753.0
4.0,3.0,2409.0,2100270.0,1927.0,6037.0,7521.0
2.0,2.0,1824.0,134364.0,1954.0,6037.0,35694.0
4.0,1.0,1076.0,389000.0,1956.0,6037.0,4752.0
4.0,3.0,2709.0,522875.0,1956.0,6037.0,35815.0
3.0,2.0,1561.0,417131.0,1959.0,6037.0,8763.0
3.0,2.0,1192.0,288933.0,1954.0,6037.0,5548.0
3.0,2.0,1395.0,388006.0,1951.0,6037.0,5148.0
6.0,5.0,6249.0,3681324.0,1924.0,6037.0,22655.0
1.0,1.0,528.0,342000.0,1929.0,6037.0,2164.0
4.0,2.0,1425.0,285867.0,1951.0,6037.0,6175.0
2.0,1.0,1184.0,506000.0,1950.0,6037.0,5090.0
4.0,4.0,3031.0,652684.0,1959.0,6037.0,10253.0
3.0,2.0,1068.0,47535.0,1959.0,6111.0,6103.0
2.0,1.0,1246.0,63529.0,1956.0,6037.0,5031.0
3.0,2.5,1921.0,564000.0,1989.0,6111.0,12953.0
3.0,2.0,1128.0,169738.0,1951.0,6037.0,7654.0
3.0,2.0,1215.0,334953.0,1968.0,6037.0,5367.0
3.0,2.0,1583.0,649101.0,1940.0,6037.0,10287.0
3.0,2.5,1371.0,410786.0,2012.0,6111.0,7613.0
2.0,2.0,2010.0,416283.0,1940.0,6037.0,10128.0
4.0,2.0,1436.0,337048.0,1964.0,6111.0,7300.0
3.0,2.0,1194.0,403856.0,1964.0,6111.0,6600.0
3.0,2.0,1547.0,255887.0,1956.0,6037.0,11589.0
3.0,3.0,2287.0,900430.0,1976.0,6037.0,31351.0
5.0,4.0,4782.0,507758.0,1929.0,6037.0,20670.0
3.0,2.0,2306.0,2181870.0,1959.0,6037.0,10693.0
2.0,1.0,950.0,284270.0,1954.0,6037.0,4731.0
3.0,1.0,1056.0,137491.0,1952.0,6037.0,5599.0
3.0,1.0,805.0,41366.0,1952.0,6037.0,5238.0
2.0,1.0,1108.0,171648.0,1972.0,6111.0,5454.0
3.0,2.0,1418.0,397998.0,1973.0,6059.0,5000.0
3.0,2.0,1410.0,78030.0,1953.0,6037.0,5389.0
4.0,2.5,1660.0,561445.0,1989.0,6059.0,4750.0
3.0,2.0,1313.0,210496.0,1913.0,6037.0,5603.0
3.0,3.0,1499.0,409989.0,1988.0,6037.0,5919.0
4.0,2.0,1422.0,282832.0,1953.0,6037.0,6952.0
3.0,2.0,1770.0,528120.0,1961.0,6111.0,17847.0
3.0,2.0,1257.0,213246.0,1953.0,6037.0,6017.0
3.0,2.0,1482.0,274539.0,1977.0,6059.0,2689.0
2.0,1.0,725.0,189320.0,1950.0,6037.0,7163.0
4.0,2.0,1848.0,64712.0,1952.0,6111.0,11396.0
4.0,3.0,2601.0,1066012.0,1969.0,6037.0,22622.0
3.0,2.5,2053.0,784633.0,2010.0,6111.0,2450.0
3.0,3.0,2160.0,1017322.0,1949.0,6037.0,6299.0
4.0,3.0,3316.0,1092550.0,1986.0,6037.0,4800.0
3.0,2.0,1157.0,918474.0,1960.0,6111.0,1750.0
3.0,2.5,2004.0,579707.0,2013.0,6111.0,5487.0
4.0,3.0,1335.0,470060.0,1950.0,6037.0,6611.0
2.0,2.0,1430.0,381638.0,1952.0,6037.0,6299.0
4.0,3.0,2672.0,461232.0,1942.0,6037.0,5645.0
2.0,3.0,1723.0,568508.0,1993.0,6059.0,2800.0
3.0,2.0,1628.0,372230.0,1954.0,6037.0,5303.0
3.0,2.0,2037.0,479000.0,1962.0,6111.0,8400.0
3.0,2.0,1128.0,591000.0,1963.0,6059.0,6000.0
4.0,2.0,1714.0,837386.0,1949.0,6037.0,6505.0
5.0,3.0,2748.0,534535.0,1965.0,6037.0,16738.0
2.0,2.0,1018.0,296969.0,1958.0,6037.0,3622.0
2.0,1.0,882.0,288725.0,1952.0,6037.0,10843.0
3.0,2.0,2718.0,297213.0,1947.0,6037.0,6698.0
2.0,2.0,1274.0,260055.0,1953.0,6037.0,6249.0
2.0,1.0,1144.0,423249.0,1959.0,6037.0,7069.0
3.0,2.0,1821.0,669406.0,1955.0,6037.0,8089.0
4.0,2.5,1748.0,69834.0,1968.0,6059.0,2117.0
4.0,3.0,2474.0,696000.0,2000.0,6111.0,21981.0
4.0,2.0,1767.0,79089.0,1953.0,6037.0,5602.0
4.0,4.0,3186.0,651462.0,1977.0,6059.0,6000.0
3.0,2.0,1625.0,392155.0,1950.0,6037.0,6120.0
3.0,2.0,2090.0,427300.0,1926.0,6037.0,2403.0
1.0,1.0,784.0,188067.0,1952.0,6037.0,5205.0
2.0,2.0,1263.0,195034.0,1949.0,6037.0,5601.0
3.0,2.0,1134.0,168328.0,1987.0,6037.0,56463.0
4.0,2.0,1815.0,280235.0,1955.0,6037.0,5880.0
3.0,2.0,1463.0,177864.0,1955.0,6037.0,6145.0
3.0,2.0,2159.0,823627.0,1962.0,6037.0,12254.0
2.0,2.0,2103.0,1647189.0,1963.0,6037.0,30094.0
3.0,2.5,1797.0,1024285.0,2007.0,6059.0,3877.0
6.0,4.5,3523.0,670951.0,1969.0,6059.0,6300.0
3.0,2.0,1801.0,468398.0,1972.0,6037.0,6235.0
3.0,2.0,1440.0,236776.0,1971.0,6059.0,5000.0
3.0,2.0,1416.0,72681.0,1961.0,6037.0,6909.0
5.0,4.0,2672.0,367029.0,1977.0,6037.0,4990.0
5.0,4.0,3155.0,1332579.0,1939.0,6037.0,6003.0
4.0,2.0,1808.0,124623.0,1940.0,6037.0,4766.0
4.0,3.0,3443.0,885472.0,1997.0,6059.0,16900.0
3.0,4.0,2821.0,227267.0,1978.0,6037.0,34715.0
3.0,2.0,1097.0,195421.0,1961.0,6111.0,7040.0
3.0,2.0,1785.0,72293.0,1966.0,6059.0,5208.0
2.0,1.0,972.0,319803.0,1920.0,6037.0,4852.0
3.0,2.0,1635.0,357429.0,1953.0,6037.0,8639.0
3.0,1.0,1181.0,336441.0,1895.0,6037.0,5906.0
3.0,1.0,1210.0,525000.0,1953.0,6037.0,4993.0
2.0,1.0,966.0,330000.0,1939.0,6037.0,6086.0
2.0,1.0,1720.0,214783.0,1952.0,6037.0,13035.0
3.0,3.0,1944.0,1089314.0,1952.0,6037.0,6081.0
4.0,2.0,1666.0,175276.0,1988.0,6037.0,7025.0
3.0,3.0,1916.0,430707.0,1954.0,6037.0,7548.0
4.0,2.0,1464.0,70365.0,1971.0,6037.0,7869.0
4.0,2.0,1696.0,639957.0,1941.0,6037.0,4999.0
3.0,2.5,1718.0,485230.0,1983.0,6059.0,2158.0
3.0,2.0,1403.0,85712.0,1956.0,6037.0,10353.0
8.0,9.0,8837.0,3350689.0,1951.0,6037.0,56073.0
3.0,1.0,1066.0,70720.0,1947.0,6037.0,5171.0
3.0,2.0,1272.0,474325.0,1963.0,6059.0,7426.0
3.0,1.0,986.0,42966.0,1953.0,6037.0,4627.0
2.0,1.0,929.0,96558.0,1947.0,6037.0,6500.0
2.0,1.0,1058.0,142945.0,1941.0,6037.0,5550.0
4.0,3.0,2304.0,114768.0,1964.0,6059.0,20691.0
4.0,3.0,2966.0,2537058.0,1930.0,6037.0,16699.0
4.0,3.0,2453.0,729964.0,1984.0,6037.0,11252.0
3.0,2.5,1641.0,790879.0,2000.0,6059.0,3480.0
4.0,3.0,2170.0,599000.0,1990.0,6037.0,6082.0
2.0,2.0,1055.0,155328.0,1989.0,6037.0,5636.0
2.0,1.0,945.0,206164.0,1949.0,6037.0,6019.0
3.0,2.0,1110.0,506000.0,1950.0,6037.0,5470.0
2.0,1.0,1010.0,36612.0,1924.0,6037.0,7281.0
4.0,3.5,2475.0,526182.0,1987.0,6111.0,6311.0
3.0,2.0,1141.0,281851.0,1983.0,6111.0,4410.0
3.0,2.0,1279.0,420300.0,1984.0,6037.0,8992.0
3.0,3.0,2910.0,147617.0,1964.0,6037.0,13753.0
4.0,2.0,1582.0,474661.0,1958.0,6059.0,7398.0
3.0,2.0,1125.0,57736.0,1960.0,6037.0,4987.0
2.0,1.0,1248.0,229710.0,1948.0,6037.0,7828.0
3.0,1.5,1256.0,336581.0,1954.0,6059.0,8100.0
4.0,2.0,2432.0,749463.0,1940.0,6037.0,16224.0
3.0,2.0,1285.0,215125.0,1954.0,6037.0,7801.0
5.0,3.0,2447.0,358494.0,1970.0,6037.0,7759.0
5.0,5.0,3791.0,866566.0,1957.0,6037.0,25532.0
2.0,2.0,1369.0,870133.0,1951.0,6037.0,5000.0
3.0,3.0,2449.0,227816.0,1985.0,6037.0,9733.0
4.0,2.0,2389.0,311590.0,1975.0,6037.0,20814.0
4.0,2.0,1477.0,69536.0,1963.0,6059.0,6300.0
4.0,2.0,1500.0,71860.0,1962.0,6111.0,9384.0
5.0,4.5,4677.0,2573126.0,2011.0,6111.0,20832.0
5.0,6.0,6611.0,3338605.0,2006.0,6111.0,42901.0
3.0,2.0,1190.0,64866.0,1955.0,6059.0,8804.0
4.0,2.0,1352.0,52761.0,1955.0,6037.0,5918.0
4.0,3.0,3179.0,393953.0,1957.0,6037.0,7473.0
3.0,3.0,1914.0,154941.0,1954.0,6037.0,7650.0
4.0,3.0,1852.0,239900.0,1993.0,6037.0,6602.0
4.0,2.0,2034.0,91287.0,1956.0,6037.0,5990.0
4.0,2.0,1897.0,615000.0,1975.0,6037.0,13707.0
5.0,3.0,2655.0,198021.0,1954.0,6037.0,6318.0
2.0,1.0,868.0,58966.0,1950.0,6037.0,5167.0
4.0,4.0,3321.0,3725000.0,1960.0,6059.0,12628.0
5.0,3.0,2663.0,379292.0,1981.0,6111.0,8765.0
4.0,2.5,2743.0,646706.0,1978.0,6059.0,7600.0
3.0,2.0,1450.0,300961.0,1964.0,6037.0,6444.0
3.0,1.0,2020.0,117672.0,1913.0,6037.0,8115.0
3.0,2.0,1099.0,1160000.0,1953.0,6037.0,6146.0
4.0,2.5,1844.0,83673.0,1966.0,6111.0,7500.0
3.0,2.0,1490.0,147160.0,1953.0,6037.0,6401.0
3.0,2.0,1533.0,259512.0,1952.0,6037.0,6445.0
7.0,6.0,4874.0,1036230.0,1967.0,6037.0,26430.0
3.0,2.0,1689.0,454832.0,2014.0,6037.0,
3.0,2.0,1120.0,226877.0,1976.0,6037.0,7831.0
3.0,2.5,2336.0,809261.0,1980.0,6111.0,52360.0
4.0,3.0,2208.0,347440.0,1977.0,6037.0,13738.0
3.0,2.0,1456.0,431481.0,1923.0,6059.0,7200.0
4.0,3.0,2155.0,446745.0,1988.0,6037.0,6744.0
4.0,3.0,2235.0,727687.0,1989.0,6037.0,7457.0
3.0,2.5,1630.0,379778.0,1992.0,6059.0,3000.0
3.0,3.0,2162.0,107237.0,1933.0,6037.0,20319.0
4.0,3.0,2595.0,1055732.0,1968.0,6037.0,8828.0
4.0,2.5,3062.0,414681.0,1969.0,6059.0,6000.0
3.0,2.0,1306.0,366882.0,1958.0,6037.0,6048.0
3.0,3.0,3021.0,1352521.0,1952.0,6037.0,134105.0
4.0,2.0,1168.0,280000.0,1947.0,6037.0,5249.0
3.0,2.0,1400.0,81339.0,1955.0,6037.0,6962.0
3.0,1.0,1210.0,503000.0,1952.0,6037.0,5491.0
3.0,2.0,1162.0,94034.0,1972.0,6059.0,2624.0
3.0,2.0,1231.0,508000.0,1959.0,6059.0,7770.0
3.0,2.0,1251.0,500000.0,1952.0,6037.0,6329.0
4.0,2.0,1624.0,108886.0,1947.0,6037.0,5753.0
7.0,8.0,5906.0,6620375.0,1952.0,6037.0,23020.0
3.0,2.0,1110.0,339526.0,1962.0,6111.0,6400.0
5.0,3.0,2271.0,909178.0,1988.0,6037.0,17151.0
2.0,2.0,1271.0,119577.0,1955.0,6037.0,54772.0
4.0,2.0,1503.0,522853.0,1962.0,6059.0,6080.0
5.0,4.0,3103.0,955350.0,1965.0,6059.0,7458.0
4.0,3.0,2354.0,161583.0,1960.0,6037.0,6307.0
4.0,2.5,1550.0,994464.0,1955.0,6059.0,7205.0
3.0,2.0,1218.0,300854.0,1955.0,6037.0,5589.0
4.0,2.0,1890.0,75753.0,1964.0,6037.0,5241.0
3.0,2.0,1256.0,522300.0,1953.0,6037.0,6205.0
4.0,2.0,1610.0,457966.0,1975.0,6111.0,7200.0
3.0,1.5,2287.0,983755.0,1962.0,6111.0,20140.0
3.0,2.0,1251.0,421527.0,1959.0,6059.0,9003.0
4.0,2.0,1678.0,607000.0,1964.0,6059.0,7621.0
2.0,1.0,1112.0,305738.0,1947.0,6059.0,7273.0
3.0,2.0,2206.0,992041.0,1950.0,6037.0,6495.0
3.0,2.0,1892.0,434577.0,1987.0,6059.0,9200.0
3.0,3.0,1952.0,391152.0,1948.0,6037.0,8101.0
2.0,1.0,750.0,1048509.0,1930.0,6059.0,2322.0
4.0,2.0,1587.0,493254.0,1991.0,6059.0,7335.0
4.0,2.5,2639.0,404170.0,1990.0,6059.0,4508.0
2.0,1.0,1035.0,150967.0,1929.0,6037.0,6849.0
2.0,3.5,2195.0,432186.0,1990.0,6059.0,5720.0
2.0,1.0,1415.0,512000.0,1950.0,6037.0,5999.0
4.0,5.0,3726.0,296335.0,1961.0,6037.0,17522.0
4.0,2.0,2168.0,532922.0,1963.0,6037.0,11033.0
3.0,2.0,1749.0,363533.0,1978.0,6059.0,2205.0
